epoch,acc,loss,val_acc,val_loss
0,0.66678923192189832,0.76025403328040075,0.74639300829122479,0.62899760828345708
1,0.75590998361331185,0.59560591805115271,0.7732168259816401,0.56242823846648804
2,0.78112445771398531,0.5432660947834338,0.7927250548170679,0.53017574989609151
3,0.79835701806370007,0.50718427750149175,0.79617964223351234,0.52218754092650399
4,0.81112625984149767,0.48038016224655578,0.80512090684727566,0.50242112568785713
5,0.82075552404734398,0.45779747739579224,0.8135541521468509,0.48467369527502824
6,0.83073974223530334,0.43760447822369325,0.81497662720508723,0.48756774096584882
7,0.838332116687177,0.41941804961775236,0.81192846875732394,0.49162455525395349
8,0.84577704880694726,0.40273090643250842,0.81995529019961,0.4842350595100603
9,0.85252663513570137,0.38671498716623015,0.81101402306648751,0.50140124028883581
10,0.8586209217950711,0.37289955771513589,0.81782157621934048,0.49756602452698095
11,0.86410177523035048,0.35982391136702835,0.81507823266674895,0.50678315748409686
12,0.86901834281020462,0.34825046697779893,0.81416378685478952,0.51812163434409442
13,0.8743044266766633,0.33688894105009182,0.81274131169965469,0.53723177330156235
14,0.87804873606867662,0.32722188563607707,0.81192846753398129,0.52919652560842012
15,0.88273594875948325,0.31730774033327119,0.80918512657342268,0.55568999948358178
16,0.88567569580302008,0.30855401041551045,0.81243649315867961,0.55569746372685691
17,0.8887556041605712,0.30095787662211254,0.80867709720602265,0.56691449328278942
