epoch,acc,loss,val_acc,val_loss
0,0.68485547907988886,0.72949015410503371,0.74344645513555085,0.62345327762442138
1,0.76526438601814017,0.57641018840335023,0.77179434972428573,0.56477742442462631
2,0.7931036992651973,0.5195702762682437,0.79556999999172096,0.52116727561297593
3,0.81047642102028072,0.481558239414835,0.79567161301145994,0.52405983896377584
4,0.8249403403748935,0.44941331045011468,0.80786425930241024,0.50099961703396789
5,0.8383248356078955,0.41953531860060561,0.81142044706912431,0.4922800975416618
6,0.85170022948807977,0.39002730529460478,0.81111562723213282,0.50952767221769213
7,0.86419460941354032,0.36003093519027796,0.80827067188314494,0.51638232174260756
8,0.87686919671128483,0.33046146452092851,0.80694980850018183,0.52786161769480511
9,0.88905594976212976,0.30166132960045944,0.81020117892503885,0.54642466370154874
10,0.89970092850214278,0.27511325133576864,0.80552732833055329,0.58797297920305736
11,0.90962507750477906,0.25023285748094443,0.80125990173870465,0.62037483576569363
12,0.91824044757237944,0.22836941443150899,0.80217435256515768,0.65635122706119275
13,0.92660097889928961,0.20823624241071009,0.79973582001968846,0.68207507787790511
14,0.93243860647651367,0.19231785674852306,0.79861816345397785,0.71704240947253239
